loc_x,loc_y,sentence,parsetree
5.67,6.19,not very near to the near edge of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.09,5.13,somewhat near to the right of the left corner of the far half of the cup,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN cup)))))))))))
5.94,5.79,not very far to the near edge of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.6,5.66,not very near to the left of the far corner of the right half of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))))))))
5.41,5.07,not very far from the edge of the near half of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.25,5.5,not very near in front of the left side of the near edge of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN cup))))))))))))
5.9,5.13,in the right half of the table surface,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.59,6.49,in the right half of the table surface,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.76,6.74,not very far from the right side of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.95,6.65,very far from the far left corner of the cup,(S1 (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (ADJP (RB far) (JJ left)) (NN corner)) (PP (IN of) (NP (DT the) (NN cup)))))))
5.8,5.4,not very far to the right of the right corner of the near half of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (JJ near) (NN half))) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.16,6.17,not very far behind the left corner of the far half of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN behind) (NP (NP (DT the) (JJ left) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table) (NN surface))))))))))
5.59,5.37,not very far to the right of the far left corner of the chair,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (ADJP (RB far) (JJ left)) (NN corner)) (PP (IN of) (NP (DT the) (NN chair))))))))))
5.45,5.81,not very near from the near end of the right edge of the bottle,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle)))))))))
5.15,6.45,somewhat far to the left of the near corner of the right half of the table,(S1 (ADJP (RB somewhat) (RB far) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (DT the) (JJ near) (NN corner))) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))))
5.88,5.2,somewhat far from the near end of the bottle,(S1 (ADJP (RB somewhat) (RB far) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.64,5.25,not very far to the right of the near left corner of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (ADJP (RB near) (VBN left)) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))))))
5.13,5.37,not very near to the left of the middle of the edge of the left half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))))))
5.97,6.73,very far to the far end of the cup,(S1 (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN cup)))))))
5.21,5.4,in the table surface,(S1 (S (PP (IN in) (NP (DT the) (NN table))) (VP (VBP surface))))
5.4,6.46,on the far half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.31,5.73,on the middle of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.28,6.84,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table)))))
5.26,6.51,in the far half of the table surface,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.5,5.0,not very far to the middle of the edge of the left half of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN cup))))))))))))
5.39,6.12,not very near from the center of the edge of the far half of the bottle,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN bottle)))))))))))
5.56,5.99,somewhat near from the bottle,(S1 (ADJP (RB somewhat) (JJ near) (PP (IN from) (NP (DT the) (NN bottle)))))
5.79,5.25,not very near to the right of the left corner of the near half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN corner)) (PP (IN of) (NP (DT the) (JJ near) (NN half))) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.86,5.42,in the right half of the table surface,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.61,5.42,somewhat far from the far left corner of the cup,(S1 (ADJP (RB somewhat) (RB far) (PP (IN from) (NP (NP (DT the) (ADJP (RB far) (JJ left)) (NN corner)) (PP (IN of) (NP (DT the) (NN cup)))))))
5.38,6.26,not very near to the right of the near corner of the left half of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN cup))))))))))))
5.85,5.4,not very far to the right of the far end of the left edge of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN cup))))))))))))
5.27,6.36,not very near in front of the center of the edge of the left half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))))))
5.04,5.27,not very near from the left side of the near edge of the cup,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN cup)))))))))
5.81,6.44,on the right half of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.65,5.74,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table)))))
5.18,5.77,not very far from the left side of the edge of the far half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))))
5.25,6.33,on the left half of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.85,5.48,on the right half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.46,6.4,not very near from the left side of the far edge of the bottle,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle)))))))))
5.23,6.77,on the far half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.0,6.15,not very far behind the left end of the chair,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN behind) (NP (NP (DT the) (JJ left) (NN end)) (PP (IN of) (NP (DT the) (NN chair))))))))
5.35,6.15,not very near from the center of the bottle,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.7,5.13,in the right half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.28,5.57,not very near in front of the center of the near edge of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table) (NN surface))))))))))))
5.55,6.39,not very near to the right of the near end of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.79,6.67,somewhat far to the left edge of the bottle,(S1 (ADJP (RB somewhat) (RB far) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.68,6.76,somewhat far to the center of the bottle,(S1 (ADJP (RB somewhat) (RB far) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.05,6.11,very far to the middle of the edge of the near half of the chair,(S1 (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN chair)))))))))))
5.09,5.67,not very near behind the edge of the right half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN behind) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.32,5.5,not very near to the right of the left edge of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
5.9,6.21,not very far from the near right corner of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ near) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.87,6.51,not very near in front of the edge of the left half of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))))))))
5.88,5.79,not very far from the right side of the far edge of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.3,6.13,not very near from the left side of the edge of the near half of the bottle,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN bottle)))))))))))
5.76,5.62,not very far to the left of the near corner of the right half of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (DT the) (JJ near) (NN corner))) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table) (NN surface))))))))))
5.83,6.53,somewhat far in front of the left corner of the far half of the cup,(S1 (ADJP (RB somewhat) (RB far) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN cup)))))))))))
5.7,5.39,not very far to the far end of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN cup))))))))
5.43,6.98,not very near to the right of the far corner of the left half of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table) (NN surface))))))))))))
5.74,6.82,very far to the near corner of the left half of the cup,(S1 (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ near) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN cup)))))))))
5.21,6.23,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table)))))
5.91,6.87,very far to the right side of the cup,(S1 (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN cup)))))))
5.7,6.68,on the table surface,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))) (NP (NN surface))))
5.0,5.43,somewhat near to the left of the middle of the near edge of the cup,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN cup)))))))))))
5.3,5.07,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table)))))
5.18,6.81,not very far in front of the middle of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table) (NN surface))))))))))
5.08,6.83,in the table surface,(S1 (S (PP (IN in) (NP (DT the) (NN table))) (VP (VBP surface))))
5.7,6.81,on the right half of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.93,5.7,not very far from the left side of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.57,6.37,somewhat near to the left of the right side of the far edge of the bottle,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle)))))))))))
5.11,5.26,on the near half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.61,5.7,on the right half of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.18,5.12,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table)))))
5.19,5.64,not very far to the left edge of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.47,6.22,on the left half of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.59,5.48,somewhat near to the left of the far end of the edge of the right half of the table surface,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table) (NN surface)))))))))))))
5.27,6.06,not very near behind the center of the right edge of the chair,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN behind) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN chair))))))))))
5.05,5.69,not very near behind the near left corner of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN behind) (NP (NP (DT the) (ADJP (RB near) (VBN left)) (NN corner)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.59,6.52,not very near to the left of the far end of the right edge of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (DT the) (ADJP (VBN left) (PP (IN of) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))) (NN surface))))))
5.2,5.68,not very near in front of the far edge of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.97,6.93,somewhat near to the left of the far end of the right edge of the table,(S1 (ADJP (RB somewhat) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))))
5.43,6.04,on the middle of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.89,6.93,somewhat far from the middle of the bottle,(S1 (ADJP (RB somewhat) (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.61,6.69,not very near to the right of the near left corner of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (ADJP (RB near) (VBN left)) (NN corner)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.71,6.06,not very near to the right of the near end of the edge of the left half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))))))
5.22,5.17,not very near to the left of the left half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))
5.79,6.2,not very near from the left side of the edge of the far half of the bottle,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN half)) (PP (IN of) (NP (DT the) (NN bottle)))))))))))
5.11,5.04,by the near right corner of the cup,(S1 (FRAG (PP (IN by) (NP (NP (DT the) (JJ near) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN cup)))))))
5.81,5.16,somewhat far from the right corner of the near half of the cup,(S1 (ADJP (RB somewhat) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (JJ near) (NN half))) (PP (IN of) (NP (DT the) (NN cup)))))))
5.37,6.3,in the table surface,(S1 (S (PP (IN in) (NP (DT the) (NN table))) (VP (VBP surface))))
5.05,6.95,not very near to the left of the far end of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (DT the) (ADJP (VBN left) (PP (IN of) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))) (NN surface))))))
5.22,6.01,on the left half of the table,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.1,6.85,somewhat far from the right edge of the bottle,(S1 (ADJP (RB somewhat) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.84,6.56,somewhat far in front of the cup,(S1 (ADJP (RB somewhat) (RB far) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT the) (NN cup)))))))
5.36,6.02,not very near from the center of the bottle,(S1 (ADVP (RB not) (ADVP (RB very) (RB near)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN bottle)))))))
5.58,5.53,somewhat far to the middle of the far edge of the cup,(S1 (ADJP (RB somewhat) (RB far) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN cup)))))))))
5.22,5.92,in the table,(S1 (FRAG (PP (IN in) (NP (DT the) (NN table)))))
5.13,5.89,on the near half of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.91,5.63,not very far from the near end of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN bottle))))))))
5.22,5.35,on the left half of the table surface,(S1 (FRAG (PP (IN on) (NP (NP (DT the) (JJ left) (NN half)) (PP (IN of) (NP (DT the) (NN table))))) (NP (NN surface))))
5.03,5.14,not very near to the left of the far corner of the right half of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN bottle))))))))))))
5.44,6.43,somewhat far to the right of the left end of the near edge of the chair,(S1 (ADJP (RB somewhat) (RB far) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN chair)))))))))))
5.39,5.25,somewhat far to the near left corner of the chair,(S1 (ADJP (RB somewhat) (RB far) (PP (TO to) (NP (NP (DT the) (ADJP (RB near) (VBN left)) (NN corner)) (PP (IN of) (NP (DT the) (NN chair)))))))
5.01,5.61,not very far in front of the center of the edge of the near half of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))))))))))
5.34,6.44,not very far behind the far right corner of the table surface,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN behind) (NP (NP (DT the) (ADJP (RB far) (JJ right)) (NN corner)) (PP (IN of) (NP (DT the) (NN table) (NN surface))))))))
5.42,5.41,not very far from the left side of the edge of the near half of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (NN edge)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN cup))))))))))))
5.35,5.41,not very far to the right side of the far edge of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.2,5.28,in the near half of the table,(S1 (FRAG (PP (IN in) (NP (NP (DT the) (JJ near) (NN half)) (PP (IN of) (NP (DT the) (NN table)))))))
5.45,6.51,not very near to the left of the far corner of the right half of the table,(S1 (FRAG (RB not) (ADJP (RB very) (RB near) (PP (TO to) (NP (NP (DT the) (NN left)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN corner)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN half)) (PP (IN of) (NP (DT the) (NN table))))))))))))
5.14,5.42,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table)))))
5.8,5.15,not very far to the right of the far end of the cup,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (TO to) (NP (NP (DT the) (NN right)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN cup))))))))))
5.11,5.08,on the table surface,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table))) (NP (NN surface))))
5.51,5.48,on the table,(S1 (FRAG (PP (IN on) (NP (DT the) (NN table)))))
5.71,5.0,not very far behind the near end of the bottle,(S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN behind) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN bottle))))))))
